;name;salary_min;salary_max;currency;location;company;link;site
33;Преподаватель программирования для детей (удаленно);30000.0;60000.0;руб.;Казань;Uchi.ru;https://hh.ru/vacancy/51103651?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
34;Аналитик трафика;60000.0;;руб.;Санкт-Петербург;ООО Софтвайс;https://hh.ru/vacancy/51468050?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
35;Junior IT Recruiter;30000.0;120000.0;руб.;Санкт-Петербург;Soshace;https://hh.ru/vacancy/51608581?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
36;Младший аналитик / Аналитик по рискам;;;;Москва, Площадь Гагарина;ООО Лендсбэй;https://hh.ru/vacancy/50043365?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
37;QA Automation Engineer;250000.0;;руб.;Москва, Ясенево;Адалиск;https://hh.ru/vacancy/49267625?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
38;Senior/Middle ML Engineer (cv and speech);;;;Москва;Schaffhausen Institute of Technology;https://hh.ru/vacancy/49916928?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
39;DevOps-инженер;100000.0;;руб.;Москва;ООО Смартплеер;https://hh.ru/vacancy/51376504?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
40;Data engineer/ Инженер по данным;;;;Москва;Билайн;https://hh.ru/vacancy/50138376?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
41;Системный администратор / DevOps;70000.0;;руб.;Москва, Калужская;idaproject;https://hh.ru/vacancy/51727389?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
42;Системный аналитик / бизнес-аналитик;;;;Москва, Автозаводская;ООО НТ Прогресс;https://hh.ru/vacancy/43651612?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
43;Senior Front-end Developer;;;;Санкт-Петербург;ООО Центр Реактивного Программирования;https://hh.ru/vacancy/51799097?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
44;Web Analytics Team Lead;;;;Москва;Wargaming, Moscow;https://hh.ru/vacancy/47756783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
45;Младший директор отдела валидации;;;;Москва, Таганская;АО Рейтинговое Агентство Эксперт РА;https://hh.ru/vacancy/50149435?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
46;Менеджер проектного офиса;;;;Санкт-Петербург;ООО СЕВЕРГРУПП МЕДИЦИНА;https://hh.ru/vacancy/50887031?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
